data,numar_1,numar_2,numar_3,numar_4,numar_5,joker
2000-09-14,4,30,32,39,27,7
2000-09-21,9,31,24,41,39,7
2000-09-28,19,1,28,43,38,11
2000-10-05,33,35,18,19,30,18
2000-10-12,26,28,32,35,12,11
2000-10-19,27,7,32,6,38,12
2000-10-26,35,19,29,7,23,14
2000-11-02,12,10,7,24,44,17
2000-11-09,10,1,26,7,18,7
2000-11-16,33,39,45,26,24,5
2000-11-23,35,13,22,37,24,8
2000-11-30,15,44,39,17,33,17
2000-12-07,3,44,13,36,32,7
2000-12-14,2,13,39,15,43,12
2000-12-21,36,35,15,11,33,2
2001-01-02,9,28,36,3,20,6
2001-01-11,9,5,30,40,21,5
2001-01-18,45,31,10,39,25,18
2001-01-25,1,19,10,11,28,11
2001-02-01,25,21,34,20,9,5
2001-02-08,15,37,25,10,33,17
2001-02-15,2,21,16,18,28,11
2001-02-22,19,2,20,28,40,4
2001-03-01,36,11,40,18,24,17
2001-03-08,14,6,32,33,31,7
2001-03-15,11,42,35,5,28,15
2001-03-22,4,21,23,17,41,8
2001-03-29,39,38,35,24,30,18
2001-04-05,45,15,42,14,44,18
2001-04-12,39,5,22,32,29,18
2001-04-19,8,28,17,4,19,16
2001-04-26,17,19,1,14,18,10
2001-05-03,28,40,44,45,6,13
2001-05-10,39,21,41,20,33,1
2001-05-17,2,34,7,42,8,17
2001-05-24,10,15,22,41,32,18
2001-05-31,37,20,14,13,2,18
2001-06-07,37,24,45,30,43,11
2001-06-14,16,1,24,5,45,3
2001-06-21,1,39,17,25,26,15
2001-06-28,44,26,30,11,1,14
2001-07-05,41,24,1,21,2,5
2001-07-12,42,22,5,34,17,17
2001-07-19,9,24,8,22,37,6
2001-07-26,13,26,17,7,41,7
2001-08-02,41,13,42,17,36,7
2001-08-09,26,6,27,5,42,6
2001-08-16,21,4,31,2,37,11
2001-08-23,26,11,31,19,17,14
2001-08-30,33,3,5,25,24,5
2001-09-06,22,7,45,18,32,14
2001-09-13,27,37,9,28,10,11
2001-09-20,14,44,36,20,10,5
2001-09-27,23,1,18,22,32,15
2001-10-04,18,8,35,14,9,3
2001-10-11,34,23,12,20,28,19
2001-10-18,22,23,7,34,27,20
2001-10-25,34,42,35,20,29,13
2001-11-01,14,35,40,28,15,10
2001-11-08,39,37,2,8,38,9
2001-11-15,14,35,24,32,45,16
2001-11-22,35,14,7,23,19,17
2001-11-29,4,19,44,17,36,1
2001-12-06,5,30,42,18,22,7
2001-12-13,35,12,25,33,40,18
2001-12-20,22,44,30,1,32,17
2002-01-10,2,18,10,43,29,5
2002-01-17,19,4,38,29,32,5
2002-01-24,37,8,1,11,10,12
2002-01-31,41,28,30,40,37,4
2002-02-07,4,38,2,8,39,11
2002-02-14,26,6,27,45,30,11
2002-02-21,4,11,32,8,36,2
2002-02-28,3,34,14,20,41,16
2002-03-07,40,24,12,38,27,20
2002-03-14,20,14,15,34,40,13
2002-03-21,29,32,22,33,42,19
2002-03-28,41,26,17,24,6,20
2002-04-04,40,12,26,28,11,11
2002-04-11,22,28,1,10,17,9
2002-04-18,6,3,7,4,18,15
2002-04-25,40,16,36,22,44,10
2002-05-02,36,37,32,25,24,18
2002-05-09,9,4,42,22,44,11
2002-05-16,23,10,12,36,25,11
2002-05-23,4,32,33,13,23,3
2002-05-30,40,8,25,10,18,5
2002-06-06,29,18,31,43,36,12
2002-06-13,4,44,35,18,24,7
2002-06-20,23,5,19,34,36,12
2002-06-27,8,35,16,21,18,14
2002-07-04,7,25,19,42,4,5
2002-07-11,36,10,20,30,24,5
2002-07-18,9,31,34,33,26,17
2002-07-25,36,22,37,17,39,11
2002-08-01,39,32,3,18,23,8
2002-08-08,44,4,24,8,37,1
2002-08-15,37,31,26,42,27,18
2002-08-22,30,21,26,42,40,20
2002-08-29,10,15,42,41,24,10
2002-09-05,19,29,7,9,20,9
2002-09-12,10,44,37,19,22,17
2002-09-19,45,29,28,38,22,6
2002-09-26,8,13,7,42,45,2
2002-10-03,35,41,43,7,28,6
2002-10-10,45,24,37,5,34,18
2002-10-17,37,14,6,26,22,8
2002-10-24,34,17,12,33,25,11
2002-10-31,27,37,14,45,23,8
2002-11-07,17,42,33,18,39,13
2002-11-14,16,29,26,31,30,8
2002-11-21,30,44,8,26,24,15
2002-11-28,27,30,21,3,19,2
2002-12-05,32,37,16,9,18,19
2002-12-12,29,25,17,9,43,15
2002-12-19,29,1,23,2,19,4
2002-12-27,34,11,10,25,26,13
2003-01-09,28,10,31,22,38,16
2003-01-16,37,32,43,38,40,3
2003-01-23,20,8,2,36,33,4
2003-01-30,16,21,42,7,4,15
2003-02-06,13,37,14,26,43,18
2003-02-13,42,36,15,12,38,14
2003-02-20,30,10,32,42,25,2
2003-02-27,43,28,15,2,41,11
2003-03-06,16,4,17,42,9,17
2003-03-13,20,30,33,24,43,1
2003-03-20,37,18,6,31,34,10
2003-03-27,45,2,23,39,14,10
2003-04-03,8,37,7,40,20,4
2003-04-10,34,20,11,3,45,14
2003-04-17,13,27,7,17,33,18
2003-04-24,2,4,10,29,15,6
2003-05-01,18,22,37,2,35,19
2003-05-08,13,7,23,9,37,17
2003-05-15,19,25,26,43,6,16
2003-05-22,45,41,8,10,9,16
2003-05-29,43,26,22,42,6,3
2003-06-05,21,11,8,41,7,10
2003-06-12,17,29,2,37,3,2
2003-06-19,16,27,42,19,6,5
2003-06-26,40,27,41,18,2,14
2003-07-03,24,14,20,10,16,15
2003-07-10,6,11,1,35,2,6
2003-07-17,33,15,13,24,19,9
2003-07-24,32,40,24,23,29,20
2003-07-31,33,9,40,14,37,6
2003-08-07,11,29,40,37,27,18
2003-08-14,13,19,44,30,43,10
2003-08-21,23,21,34,2,13,6
2003-08-28,37,3,6,43,4,2
2003-09-04,44,41,33,30,3,17
2003-09-11,9,45,41,2,7,20
2003-09-18,11,1,39,35,34,7
2003-09-25,45,9,24,38,15,18
2003-10-02,25,43,30,20,33,19
2003-10-09,35,26,28,27,5,18
2003-10-16,32,41,20,13,18,13
2003-10-23,21,43,8,45,32,9
2003-10-30,5,45,26,19,24,2
2003-11-06,23,27,21,18,14,16
2003-11-13,15,34,17,23,16,9
2003-11-20,17,32,31,16,44,16
2003-11-27,14,19,34,33,18,16
2003-12-04,43,32,8,1,40,20
2003-12-11,9,16,21,20,37,15
2003-12-18,4,1,16,8,3,20
2003-12-24,1,19,42,18,38,18
2004-01-08,15,29,31,30,18,3
2004-01-15,6,23,27,16,8,18
2004-01-22,16,39,17,10,41,8
2004-01-29,42,31,18,28,14,14
2004-02-05,1,32,37,6,41,13
2004-02-12,1,18,26,24,15,3
2004-02-19,44,24,39,8,35,18
2004-02-26,4,28,10,22,31,12
2004-03-04,9,32,4,44,21,11
2004-03-11,27,4,9,22,3,17
2004-03-18,8,21,23,36,40,13
2004-03-25,16,29,37,26,43,16
2004-04-01,44,36,20,11,22,19
2004-04-08,34,3,12,21,7,16
2004-04-15,9,15,30,24,3,4
2004-04-22,8,40,32,24,44,20
2004-04-29,26,20,9,31,11,20
2004-05-06,42,43,25,20,24,15
2004-05-13,11,17,16,36,29,20
2004-05-20,26,28,20,37,1,5
2004-05-27,42,24,23,28,37,7
2004-06-03,38,11,15,20,16,9
2004-06-10,38,15,1,4,32,7
2004-06-17,31,20,23,2,45,12
2004-06-24,16,36,25,30,42,16
2004-07-01,27,18,26,29,36,6
2004-07-08,30,29,31,5,3,3
2004-07-15,12,5,25,13,40,16
2004-07-22,33,44,12,1,17,16
2004-07-29,11,42,25,31,41,9
2004-08-05,30,26,41,21,34,3
2004-08-12,16,19,15,24,2,1
2004-08-19,7,17,36,35,42,7
2004-08-26,37,40,41,25,34,14
2004-09-02,6,2,21,11,44,6
2004-09-09,34,20,38,13,26,8
2004-09-16,17,34,35,19,41,4
2004-09-23,21,5,14,30,29,17
2004-09-30,42,18,16,6,24,1
2004-10-07,35,43,37,28,10,7
2004-10-14,9,28,10,18,8,2
2004-10-21,45,41,43,32,20,6
2004-10-28,10,35,43,45,5,14
2004-11-04,18,9,31,27,5,3
2004-11-11,14,5,18,10,43,8
2004-11-18,9,5,25,19,11,13
2004-11-25,40,28,45,2,9,18
