data,numar_1,numar_2,numar_3,numar_4,numar_5,numar_6
1993-08-08,38,17,47,25,30,37
1993-08-15,6,7,30,17,2,42
1993-08-22,44,20,17,3,38,45
1993-08-29,42,30,36,5,4,6
1993-09-05,5,14,7,49,35,19
1993-09-12,42,28,41,15,22,38
1993-09-19,18,4,16,35,2,17
1993-10-03,44,48,34,37,4,41
1993-10-17,13,7,6,45,29,25
1993-10-24,8,22,43,14,34,15
1993-10-31,14,17,47,19,36,12
1993-11-14,48,20,6,43,4,35
1993-11-28,37,36,17,35,15,8
1993-12-12,12,33,41,7,34,43
1993-12-19,49,15,46,25,12,32
1994-01-16,7,20,27,46,2,33
1994-01-23,39,5,6,19,20,2
1994-01-30,14,47,40,26,24,36
1994-02-06,45,10,18,43,35,11
1994-02-13,38,29,49,47,8,3
1994-02-20,16,42,33,4,38,7
1994-03-13,22,39,35,29,44,46
1994-03-20,34,9,10,19,2,47
1994-03-27,11,8,25,13,3,38
1994-04-02,38,49,36,20,19,5
1994-04-10,49,42,11,45,9,23
1994-04-17,23,46,1,35,2,22
1994-04-24,10,41,29,25,18,8
1994-05-01,19,7,16,18,6,49
1994-05-08,15,44,32,21,49,10
1994-05-15,29,32,38,24,11,15
1994-05-22,10,18,23,40,35,33
1994-05-29,37,10,44,27,47,48
1994-06-05,34,7,49,14,47,44
1994-06-12,43,49,4,36,24,26
1994-06-19,46,27,6,31,2,11
1994-06-26,27,14,3,43,22,42
1994-07-03,47,38,36,19,5,35
1994-07-10,41,4,39,13,24,33
1994-07-17,18,29,17,48,47,34
1994-07-24,33,29,31,23,41,6
1994-07-31,29,17,11,14,28,39
1994-08-07,35,16,8,47,46,36
1994-08-14,36,21,5,47,40,33
1994-08-21,25,31,46,39,1,22
1994-08-28,20,45,32,23,18,19
1994-09-04,29,27,44,43,30,46
1994-09-11,28,26,48,37,44,1
1994-09-18,1,15,9,45,44,14
1994-09-25,41,7,48,3,11,16
1994-10-02,5,8,48,2,28,25
1994-10-09,49,39,9,42,37,13
1994-10-16,10,7,45,2,8,20
1994-10-23,48,38,15,45,12,42
1994-10-30,4,33,17,45,13,39
1994-11-06,16,11,12,14,15,38
1994-11-13,28,45,2,7,19,43
1994-11-20,25,23,41,40,27,34
1994-11-27,18,44,1,43,40,9
1994-12-04,3,31,1,28,15,12
1994-12-11,38,13,31,28,19,23
1994-12-18,49,31,10,43,37,12
1995-01-02,25,18,42,36,43,12
1995-01-15,20,44,18,48,19,28
1995-01-22,41,8,37,22,6,5
1995-01-29,41,36,18,23,27,10
1995-02-05,38,12,1,2,44,41
1995-02-12,1,31,16,4,33,18
1995-02-19,23,5,42,18,15,12
1995-03-01,12,49,23,18,5,28
1995-03-05,39,46,35,43,17,16
1995-03-12,36,37,24,48,10,5
1995-03-19,13,25,16,14,49,37
1995-03-26,4,35,39,22,11,46
1995-04-02,19,5,24,9,36,40
1995-04-09,3,22,13,5,35,6
1995-04-16,16,30,11,4,19,46
1995-04-23,34,28,48,32,4,20
1995-04-30,30,46,39,19,35,48
1995-05-07,36,4,12,20,7,39
1995-05-14,32,14,44,34,21,24
1995-05-21,29,43,24,8,17,18
